reactant_1,reactant_2,product,Yield
C=C(COc1ccccc1N)c1ccccc1,CC1(C)CC(O)CC(C)(C)N1O,CC1(C)CCCC(C)(C)N1OCC1(c2ccccc2)COc2ccccc21,27.4
BrC(Br)Br,C=C(C)c1ccccc1,CC1(c2ccccc2)CC1(Br)Br,86.3
CCO,CCOC(OCC)c1cccc(C2=NC=C3C=CC(=O)NC4=C3N2CC4)c1,O=Cc1ccc(C2=NC=C3C=CC(=O)NC4=C3N2CC4)cc1,74.0
Fc1ccc(CC2CCNCC2)cc1,O=c1[nH]c2ccc(CCCCl)cc2o1,O=c1[nH]c2ccc(CCCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1,93.0
CCn1c(Nc2cc(C(F)(F)F)ccc2C(F)(F)F)nc(C(F)(F)F)cc1=O,O=S(=O)(Cl)Cl,CCn1c(Nc2cc(C(F)(F)F)ccc2C(F)(F)F)nc(C(F)(F)F)c(Cl)c1=O,53.2
CCCCn1c(Nc2cc(C(F)(F)F)ccc2C(F)(F)F)nc(C(F)(F)F)cc1=O,O=S(=O)(Cl)Cl,CCCCn1c(Nc2cc(C(F)(F)F)ccc2C(F)(F)F)nc(C(F)(F)F)c(Cl)c1=O,90.0
CC(C)Cn1c(Nc2cc(C(F)(F)F)ccc2C(F)(F)F)nc(C(F)(F)F)cc1=O,O=S(=O)(Cl)Cl,CC(C)Cn1c(Nc2cc(C(F)(F)F)ccc2C(F)(F)F)nc(C(F)(F)F)c(Cl)c1=O,96.0
COC(=O)c1cc(N)ccc1C,N#Cc1ccc(C(=O)Cl)cc1,COC(=O)c1cc(NC(=O)c2ccc(C#N)cc2)ccc1C,99.5
BrCc1ccc(Br)cc1,CC(C)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)C(C)(C)Cc1ccc(Br)cc1,85.0
CCOC(=O)C(C(=O)OCC)c1c(F)cc(F)cc1F,Nc1cc[nH]n1,Oc1nc2ccnn2c(O)c1-c1c(F)cc(F)cc1F,93.1
CC(C)c1ccc(Br)cc1,COc1ccc(C2=NC(C)(C)CO2)c(OC)c1,COc1ccc(C2=NC(C)(C)CO2)c(-c2ccc(C(C)C)cc2)c1,72.3
CC(C)(C)[Si](C)(C)OC(CCC1CCC(=O)N1)Cc1ccccc1,COC(=O)c1ccc(CCCBr)cc1,COC(=O)c1ccc(CCCN2C(=O)CCC2CCC(Cc2ccccc2)O[Si](C)(C)C(C)(C)C)cc1,70.3
CC(C)(C)[Si](C)(C)OC(CCC1CCC(=O)N1)Cc1ccccc1,N#Cc1ccc(CCCBr)cc1,CC(C)(C)[Si](C)(C)OC(CCC1CCC(=O)N1CCCc1ccc(C#N)cc1)Cc1ccccc1,69.4
CS(=O)(=O)OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[I-],FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI,93.2
CC(C)(C)N,CS(=O)(=O)Cl,CC(C)(C)NS(C)(=O)=O,59.0
BrBr,COc1cccc(CNc2nc(Cl)nc3c2ncn3C(C)C)c1,COc1cccc(CNc2nc(Cl)nc3c2nc(Br)n3C(C)C)c1,88.0
C=CCCCCCCC(C(=O)OCC)C(=O)OCC,FC(F)(F)C(F)(F)CCCCI,C=CCCCCCCC(CCCCC(F)(F)C(F)(F)F)(C(=O)OCC)C(=O)OCC,70.0
Nc1ccc2[nH]ncc2c1,[I-],Ic1ccc2[nH]ncc2c1,75.4
CN(C)C=O,FC(F)(F)Oc1ccc(OC2CC2)c(I)c1,O=Cc1cc(OC(F)(F)F)ccc1OC1CC1,94.1
COc1ccc(C)c(NC(=O)CCl)c1,Nc1ccc(F)c(Cl)c1,COc1ccc(C)c(NC(=O)CNc2ccc(F)c(Cl)c2)c1,86.7
COCOc1cnccc1CCCO,Oc1cccnc1Oc1cccc(Br)c1,Oc1cnccc1CCCOc1cccnc1Oc1cccc(Br)c1,82.2
CCCCCCCCCC(=O)Cl,NS(=O)(=O)c1ccccc1NC(=O)c1cccc(OCc2ccc([N+](=O)[O-])cc2)c1,CCCCCCCCCC(=O)NS(=O)(=O)c1ccccc1NC(=O)c1cccc(OCc2ccc([N+](=O)[O-])cc2)c1,98.2
CCCCCCCOc1cccc(C(=O)O)c1,Nc1ccccc1S(N)(=O)=O,CCCCCCCOc1cccc(C(=O)Nc2ccccc2S(N)(=O)=O)c1,61.5
Nc1ccccc1S(N)(=O)=O,O=C(O)c1ccc(C#Cc2ccccc2)cc1,NS(=O)(=O)c1ccccc1NC(=O)c1ccc(C#Cc2ccccc2)cc1,78.7
CC(C)(C)OC(=O)N1CCC(Oc2ccc(N)cc2)CC1,CCS(=O)(=O)Cl,CCS(=O)(=O)Nc1ccc(OC2CCN(C(=O)OC(C)(C)C)CC2)cc1,84.0
CC(=O)c1cccc(-c2ccc(/C(C)=C/CO)cc2)c1,CCOC(=O)[C@H](Cc1ccc(O)cc1)OCC,CCOC(=O)[C@H](Cc1ccc(OC/C=C(\C)c2ccc(-c3cccc(C(C)=O)c3)cc2)cc1)OCC,65.8
C=Cc1ccccc1,O=Cc1cc(Br)cc(Br)c1,O=Cc1cc(Br)cc(C=Cc2ccccc2)c1,31.3
C/C(=C\CO)c1ccc(-c2cc(Br)cc(Br)c2)cc1,CCOC(=O)[C@H](Cc1ccc(O)cc1)OCC,CCOC(=O)[C@H](Cc1ccc(OC/C=C(\C)c2ccc(-c3cc(Br)cc(Br)c3)cc2)cc1)OCC,84.0
CC(C)(C/C=C/C(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CNC(Cc1ccc2ccccc2c1)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)N(C)C,CN(C)C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@@H](Cc1ccc2ccccc2c1)N(C)C(=O)/C=C/CC(C)(C)NC(=O)OCC1c2ccccc2-c2ccccc21,68.1
COc1cc(OC)n2nc(N)nc2n1,O=S(=O)(Cl)c1c(Cl)cccc1Cl,COc1cc(OC)n2nc(NS(=O)(=O)c3c(Cl)cccc3Cl)nc2n1,92.0
Cc1cc(C)n(CCO)n1,Cc1ccc(S(=O)(=O)Cl)cc1,Cc1ccc(S(=O)(=O)OCCn2nc(C)cc2C)cc1,46.0
CC(C)(C)C(=O)CCl,CC(C)(C)OC(=O)N1CC2CNCC(C1)O2,CC(C)(C)OC(=O)N1CC2CN(CC(=O)C(C)(C)C)CC(C1)O2,85.5
CCOC(=O)C(C(=O)NCc1ccc(Cl)cc1)C(=O)OCC,Nc1nnc(CN2CCOCC2)s1,O=C(NCc1ccc(Cl)cc1)c1c(O)n2nc(CN3CCOCC3)sc2nc1=O,39.1
Cc1cc(C)c(NCC(=O)N(C)C2CCNCC2)c(C)c1N,O=C(Cl)c1ccccc1,Cc1cc(C)c(NCC(=O)N(C)C2CCN(C(=O)c3ccccc3)CC2)c(C)c1N,66.0
Cc1cc(C(=O)O)ccc1N,O=C(Cl)OCc1ccccc1,Cc1cc(C(=O)O)ccc1NC(=O)OCc1ccccc1,45.3
CN(C(=O)OC(C)(C)C)C1C2CCC1CNC2,Cc1ccc(S(=O)(=O)OCCCNc2ccc(C#N)cc2)cc1,CN(C(=O)OC(C)(C)C)C1C2CCC1CN(CCCNc1ccc(C#N)cc1)C2,59.0
CC(=O)Nc1nc(C)c(S(=O)(=O)Cl)s1,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,COc1ccc2c(c1)nc(S(=O)Cc1ncc(C)c(OC)c1C)n2S(=O)(=O)c1sc(NC(C)=O)nc1C,51.7
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,O=C(COc1ccc(S(=O)(=O)Cl)cc1)Nc1ccccn1,COCCCOc1ccnc(CS(=O)c2nc3ccccc3n2S(=O)(=O)c2ccc(OCC(=O)Nc3ccccn3)cc2)c1C,75.2
CC(=O)O,CCOC(=O)C(=Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)[O-],CCOC(=O)C(Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)OCC,88.0
O=Cc1ccc(O)cc1,O=P(OCc1ccccc1)(OCc1ccccc1)OP(=O)(OCc1ccccc1)OCc1ccccc1,O=Cc1ccc(OP(=O)(OCc2ccccc2)OCc2ccccc2)cc1,98.2
CN(CC(=O)[O-])Cc1ccccc1,OCCBr,CN(CC(=O)OCCBr)Cc1ccccc1,21.9
CCOC(OCC)C(=O)C(C)C(C)=O,NC(=[NH2+])Nc1ccccc1,CCOC(OCC)c1nc(Nc2ccccc2)nc(C)c1C,100.0
CCOC(=O)c1cc2cc(-n3cnc(CO)c3)c(C(F)(F)F)cc2[nH]c1=O,CCOC(=O)c1ccc(N=C=O)cc1,CCOC(=O)c1ccc(NC(=O)OCc2cn(-c3cc4cc(C(=O)OCC)c(=O)[nH]c4cc3C(F)(F)F)cn2)cc1,98.2
CCOC(=O)c1cc2cc(-n3cnc(CO)c3)c(C(F)(F)F)cc2[nH]c1=O,O=C=Nc1ccccc1Br,O=C(Nc1ccccc1Br)OCc1cn(-c2cc3cc(C(=O)O)c(=O)[nH]c3cc2C(F)(F)F)cn1,38.1
CCC=CC1C(C(=O)O)C1(C)C,O=S(Cl)Cl,CCC=CC1C(C(=O)Cl)C1(C)C,86.5
CC(C)c1cccc(C(C)C)c1N=C=O,Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccc(Oc3ccc4cccc(N)c4c3)cc21,CC(C)c1cccc(C(C)C)c1NC(=O)Nc1cccc2ccc(Oc3ccc4nc(COc5ccc(CC6SC(=O)NC6=O)cc5)n(C)c4c3)cc12,34.6
CC(C)(C)OC(=O)CN,N#Cc1ccc(Cl)c([N+](=O)[O-])c1,CC(C)(C)OC(=O)CNc1ccc(C#N)cc1[N+](=O)[O-],74.7
CC(C)(C)OC(=O)NCCBr,COc1ccccc1O,COc1ccccc1OCCNC(=O)OC(C)(C)C,97.3
Clc1ccccc1,c1ccc(Nc2ccccc2)cc1,c1ccc(N(c2ccccc2)c2ccccc2)cc1,98.6
C1COCCN1,N#Cc1ccc(Cl)cc1,N#Cc1ccc(N2CCOCC2)cc1,82.0
COc1ccccc1Br,OB(O)c1ccc(C(F)(F)F)cc1,COc1ccccc1-c1ccc(C(F)(F)F)cc1,97.6
CC(C)(C)OC(=O)N1CCC(CO)CC1,CS(=O)(=O)Cl,CC(C)(C)OC(=O)N1CCC(COS(C)(=O)=O)CC1,96.1
CC(=O)Cl,O=C(C1CCNCC1)N(CCCN1CCC(Cc2ccccc2)CC1)c1ccccc1,CC(=O)N1CCC(C(=O)N(CCCN2CCC(Cc3ccccc3)CC2)c2ccccc2)CC1,85.0
CC(=O)N1CCC(C(=O)N(CCCN2CCC(N)CC2)c2ccc(Cl)c(Cl)c2)CC1,O=S(=O)(Cl)c1ccc(F)cc1,CC(=O)N1CCC(C(=O)N(CCCN2CCC(NS(=O)(=O)c3ccc(F)cc3)CC2)c2ccc(Cl)c(Cl)c2)CC1,84.0
Fc1ccc(-c2cc(C(F)(F)F)n[nH]2)cc1,NCCO,NCCOc1ccc(-c2cc(C(F)(F)F)[nH]n2)cc1,34.3
C=C(C)C,CC(C)C(CBr)C(=O)O,CC(C)C(CBr)C(=O)OC(C)(C)C,99.0
CCOC(=O)CCCS,CCOc1ccc(-c2ccc(F)c(C=O)c2)cc1,CCOC(=O)C1=Cc2cc(-c3ccc(OCC)cc3)ccc2SCC1,57.0
CCOc1ccc(OB(O)O)cc1,O=Cc1cc(Br)ccc1F,CCOc1ccc(-c2ccc(F)c(C=O)c2)cc1,76.0
CCOC(=O)CCCS,CCOc1ccc(-c2ccc(F)c(C=O)c2)cc1,CCOC(=O)CCCSc1ccc(-c2ccc(OCC)cc2)cc1C=O,73.0
CCOC(=O)[C@@H]1CCCNC1,O=C(O)c1cccnc1N1CCN(CC(O)CN2C=CC3=C(CCC=C3)c3ccccc32)CC1,CCOC(=O)[C@@H]1CCCN(CC(O)CN2c3ccccc3CCc3ccccc32)C1,53.0
CC1C(=O)N(C(=O)[C@H](C)N)c2cccc(N)c2-c2ccccc21,O=S(=O)(Cl)Cc1ccccc1,CC1C(=O)N(C(=O)[C@H](C)NS(=O)(=O)Cc2ccccc2)c2cccc(N)c2-c2ccccc21,35.0
CC1C(=O)N(C(=O)[C@H](C)N)c2cccc(N)c2-c2ccccc21,CCCCCCCCS(=O)(=O)Cl,CCCCCCCCS(=O)(=O)N[C@@H](C)C(=O)N1C(=O)C(C)c2ccccc2-c2c(N)cccc21,34.0
BrCCBr,Cn1c(C(F)(F)F)cc(=O)n(-c2c(F)cc(Cl)c(O)c2N)c1=O,Cn1c(C(F)(F)F)cc(=O)n(-c2c(F)cc(Cl)c3c2NCCO3)c1=O,6.5
CC(=O)c1ccc[nH]1,O=C(Cl)c1ccc2ccccc2c1,CC(=O)c1cc(C(=O)c2ccc3ccccc3c2)c[nH]1,51.0
O=C(OCc1ccccc1)ON1C(=O)CCC1=O,c1ccc2c3c([nH]c2c1)CNCC3,O=C(OCc1ccccc1)N1CCc2c([nH]c3ccccc23)C1,97.0
NCCCCn1c(CCCOc2ccccc2)nc2c(N)nc3ccccc3c21,O=C(Cl)N1CCOCC1,Nc1nc2ccccc2c2c1nc(CCCOc1ccccc1)n2CCCCNC(=O)N1CCOCC1,31.1
Cc1ccc(I)cc1Cl,OB(O)c1ccccc1,Cc1ccc(-c2ccccc2)cc1Cl,99.4
CC(C)c1[nH]c(C=O)c(-c2ccccc2)c1C(=O)NCCCN1CCN(C)CC1,O=C1Cc2cc(Br)ccc2N1,CC(C)c1[nH]c(C=C2C(=O)Nc3ccc(Br)cc32)c(-c2ccccc2)c1C(=O)NCCCN1CCN(C)CC1,44.0
Cc1[nH]c(C=O)c(-c2ccccc2)c1C(=O)NCCN1CCCC1,O=C1Cc2cc(Br)ccc2N1,Cc1[nH]c(C=C2C(=O)Nc3ccc(Br)cc32)c(-c2ccccc2)c1C(=O)NCCN1CCCC1,27.0
Cc1[nH]c(C=O)c(C)c1C(=O)NCCN(C)C,O=C1Cc2ccc(-c3ccccc3)cc2N1,Cc1[nH]c(C=C2C(=O)Nc3cc(-c4ccccc4)ccc32)c(C)c1C(=O)NCCN(C)C,37.9
Cc1[nH]c(C=O)c(C)c1C(=O)NCCCN(C)C,O=C1Cc2ccc(-c3cccnc3)cc2N1,Cc1[nH]c(C=C2C(=O)Nc3cc(-c4cccnc4)ccc32)c(C)c1C(=O)NCCCN(C)C,75.9
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=O)c1C,O=C1Cc2cc(F)ccc2N1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,55.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=O)c1C,O=C1Cc2cc(F)ccc2N1,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,88.0
Cc1ccc(-c2c(OCCO)nn(C)c2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)cc1,Clc1ncc(Br)cn1,Cc1ccc(-c2c(OCCOc3ncc(Br)cn3)nn(C)c2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)cc1,35.5
COc1ccc(S(=O)(=O)Cl)cc1,COc1nn(C)c(N)c1-c1ccc2c(c1)OCO2,COc1ccc(S(=O)(=O)Nc2c(-c3ccc4c(c3)OCO4)c(OC)nn2C)cc1,5.9
COc1nn(Cc2ccccc2)c(N)c1-c1ccc2c(c1)OCO2,O=S(=O)(Cl)/C=C/c1ccccc1,COc1nn(Cc2ccccc2)c(NS(=O)(=O)/C=C/c2ccccc2)c1-c1ccc2c(c1)OCO2,72.0
C=CCCCCCCCCO,C=CCOCC(=O)O,C=CCCCCCCCCOC(=O)COCC=C,62.0
Nc1ccc(O)c(C(=O)O)c1,O=[N+]([O-])c1ccc(CCCBr)cc1,O=C(O)c1cc(NCCCc2ccc([N+](=O)[O-])cc2)ccc1O,50.0
CC(C)(C)NC(=O)C(Cl)(Cl)Cl,O=C(O)Cc1cccc(Br)c1,CC(C)(C)OC(=O)Cc1cccc(Br)c1,72.3
CO,O=C(O)Cc1c([N+](=O)[O-])cc(I)cc1C(F)(F)F,COC(=O)Cc1c([N+](=O)[O-])cc(I)cc1C(F)(F)F,92.0
CCN(CC)CCN1C(=O)C(O)(c2ccccc2Cl)c2c(Br)cc(C#N)cc21,[OH-],CCN(CC)CCN1C(=O)C(O)(c2ccccc2Cl)c2c(Br)cc(C(N)=O)cc21,69.0
Cc1ccccc1-c1cc(N)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,O=C(Cl)C1CC1,Cc1ccccc1-c1cc(NC(=O)C2CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,54.1
CC(=O)O,CCOC(=O)Cc1csc(N)n1,CCOC(=O)Cc1csc(NC(C)=O)n1,91.0
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,[O-][n+]1ccccc1NCCCO,CC(C)(C)OC(=O)N(CCCO)c1cccc[n+]1[O-],98.0
COC(OC)OC,O=C1OC(O)c2c1ccc1c(C(=O)O)cccc21,COC(=O)C1OC(=O)c2ccc3c(C(=O)O)cccc3c21,79.0
COc1ccc(S(=O)(=O)F)nn1,O=C1COc2ccccc21,COc1ccc(S(=O)(=O)c2oc3ccccc3c2O)nn1,17.0
COc1ccc(C(=O)Nc2cc(N)ccc2C)cc1OC,O=C(Cl)c1cccc(CCl)c1,COc1ccc(C(=O)Nc2cc(NC(=O)c3cccc(CCl)c3)ccc2C)cc1OC,87.0
C1COCCN1,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1cccc(OCC2CO2)c1,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1cccc(OCC(O)CN2CCOCC2)c1,64.0
CNCCCN(C)C,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccccc1F,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(N(C)CCCN(C)C)cc1,29.0
CI,Cc1cccc(CCO)c1Br,COCCc1cccc(C)c1Br,89.0
CN(C#N)S(C)(=O)=O,COC(=O)C(C(=O)C(C)C)=C(N)c1ccc(F)cc1,COC(=O)c1c(-c2ccc(F)cc2)nc(N(C)S(C)(=O)=O)nc1C(C)C,29.1
CN(C#N)S(C)(=O)=O,COC(=O)C(C(=O)C(C)C)=C(N)c1ccc(F)cc1,COC(=O)c1c(-c2ccc(F)cc2)nc(N(C)S(C)(=O)=O)nc1C(C)C,80.3
CN(C#N)S(C)(=O)=O,COC(=O)C(C(=O)C(C)C)=C(N)c1ccc(F)cc1,COC(=O)c1c(-c2ccc(F)cc2)nc(N(C)S(C)(=O)=O)nc1C(C)C,68.1
CC(=O)c1ccc(C#N)cc1,COC(OC)N(C)C,CN(C)C=CC(=O)c1ccc(C#N)cc1,62.3
O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,O=C([O-])[O-],COC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,88.9
CCCC[Sn](CCCC)(CCCC)c1cnn(-c2ccccc2)c1,Cc1cc(I)ccc1OC=C1C=CC=CC1n1nnn(C)c1=O,Cc1cc(-c2cnn(-c3ccccc3)c2)ccc1OC=C1C=CC=CC1n1nnn(C)c1=O,15.7
Nc1ccc(C(=NO)c2ccccc2)cc1,O=C(Cl)C1CC(c2cccnc2)=NO1,O=C(Nc1ccc(/C(=N/O)c2ccccc2)cc1)C1CC(c2cccnc2)=NO1,12.9
CN(C)N=CC=Cc1ccccc1NC(=O)C(F)(F)F,COc1ccnc2c1C(=O)C=CC2=O,COc1ccnc2c1C(=O)c1c(-c3ccccc3NC(=O)C(F)(F)F)ccnc1C2=O,9.0
COC(=O)c1cc(O)nc2ccccc12,[Li]c1ccccc1,Oc1cc(C(O)(c2ccccc2)c2ccccc2)c2ccccc2n1,97.0
CC(C)(C)OC(=O)N1CCc2c(n(CC(=O)O)c3ccccc23)CC1,Cc1cccc(N)c1C,Cc1cccc(NC(=O)Cn2c3c(c4ccccc42)CCN(C(=O)OC(C)(C)C)CC3)c1C,73.1
CC(C)(C)OC(=O)N1CCc2[nH]c3cc(Cl)c(Cl)cc3c2CC1,CCOC(=O)CBr,CCOC(=O)Cn1c2c(c3cc(Cl)c(Cl)cc31)CCN(C(=O)OC(C)(C)C)CC2,84.5
COc1ccc(B2OB(c3ccc(OC)cc3C)OB(c3ccc(OC)cc3C)O2)c(C)c1,O=C(c1ccccc1)N1CCc2[nH]c3ccc(Br)cc3c2CC1,COc1ccc(-c2ccc3[nH]c4c(c3c2)CCN(C(=O)c2ccccc2)CC4)c(C)c1,37.0
CC(C)(C)OC(=O)N1CCc2[nH]c3cccc(Br)c3c2CC1,CC1(C)OBOC1(C)C,CC(C)(C)OC(=O)N1CCc2[nH]c3cccc(B4OC(C)(C)C(C)(C)O4)c3c2CC1,93.0
COc1ccc2nc(Cl)sc2c1,Nc1cc(Cl)c(O)c(Cl)c1,COc1ccc2nc(Oc3c(Cl)cc(N)cc3Cl)sc2c1,56.0
CCN(CC)CC,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,COC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,97.3
BrBr,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,Cn1c(=O)[nH]c(=O)c2[nH]c(Br)nc21,90.0
CCOCCl,Cn1c(=O)[nH]c(=O)c2[nH]c(Br)nc21,CCOCn1c(Br)nc2c1c(=O)[nH]c(=O)n2C,70.4
CC(=O)OC(C)=O,C[C@H](CCCCn1c(=O)c2c(nc3n2CCN3)n(C)c1=O)O[Si](C)(C)C(C)(C)C,CC(=O)N1CCn2c1nc1c2c(=O)n(CCCC[C@@H](C)O[Si](C)(C)C(C)(C)C)c(=O)n1C,67.0
COc1cccc(C2(O)CCCN(Cc3ccccc3)C2)c1,Oc1ccccc1,COc1cccc(C2(c3ccc(O)cc3)CCCN(Cc3ccccc3)C2)c1,59.7
CSc1nc(N)nc(-c2ccco2)c1C#N,O=C(O)Cc1ccccc1I,CSc1nc(NC(=O)Cc2ccccc2I)nc(-c2ccco2)c1C#N,24.0
Nc1nc(OS(=O)(=O)C(F)(F)F)c(F)c(-c2ccco2)n1,OCc1ccccn1,Nc1nc(OCc2ccccn2)c(F)c(-c2ccco2)n1,10.0
CSc1nc(N)nc(-c2ccco2)c1C#N,O=C1CCC(=O)N1Cl,CSc1nc(N)nc(-c2ccc(Cl)o2)c1C#N,94.1
CC(C)(C)OC(=O)NCCN,O=C(O)Cc1ccc(OCc2ccc(-c3ccccc3)cc2)cc1,CC(C)(C)OC(=O)NCCNC(=O)Cc1ccc(OCc2ccc(-c3ccccc3)cc2)cc1,62.6
N#Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,O=[N+]([O-])O,N#Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c([N+](=O)[O-])c1,93.0
CCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],Cc1ccc(S(=O)(=O)Cl)cc1,CCN(c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])S(=O)(=O)c1ccc(C)cc1,65.0
Cc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1,O=[N+]([O-])O,Cc1ccc(S(=O)(=O)Nc2ccc(F)cc2[N+](=O)[O-])cc1,97.0
F[B-](F)(F)F,N#CSc1ccc([N+]#N)c(C#N)c1,N#CSc1ccc(F)c(C#N)c1,15.0
Cc1ccc(C(C)(C)C)cc1,O=C1CCC(=O)N1Br,CC(C)(C)c1ccc(CBr)cc1,100.0
C=C(C)c1cccc(CN(C)C/C=C\C#CC(C)(C)C)c1,[Li]CCCC,C=Cc1cccc(CN(C)Cc2ccc(C(C)(C)C)cc2)c1,49.4
COc1ccc(Br)c(C(=O)O)c1,Cc1ccc([N+](=O)[O-])cc1N,COc1ccc(Nc2cc([N+](=O)[O-])ccc2C)c(C(=O)O)c1,56.0
Cc1cc(Br)cnc1Br,[I-],Cc1cc(Br)cnc1I,70.0
COC(=O)c1ccc(N)cc1C(=O)OC,O=Cc1ccccc1,COC(=O)c1ccc(NCc2ccccc2)cc1C(=O)OC,39.0
N#Cc1ccc(Oc2ccccc2N)cc1C#N,O=C(Cl)c1cccc([N+](=O)[O-])c1,N#Cc1ccc(Oc2ccccc2NC(=O)c2cccc([N+](=O)[O-])c2)cc1C#N,81.0
CCC(CC)O[C@@H]1C=C(C(=O)OC)C[C@H](CC=O)[C@H]1NC(C)=O,[O-][Cl+][O-],CCC(CC)O[C@@H]1C=C(C(=O)OC)C[C@H](CC(=O)O)[C@H]1NC(C)=O,85.2
C=CCBr,COC(=O)C1=C[C@@H](OC(C)C)[C@H](NC(C)=O)[C@H](O)C1,C=CCO[C@@H]1CC(C(=O)OC)=C[C@@H](OC(C)C)[C@@H]1NC(C)=O,90.4
CCOCc1cnc(Nc2ccc(OCC(O)CN(C)C)cc2)nc1Nc1ccccc1,c1c[nH]cn1,CN(C)CC(O)COc1ccc(Nc2ncc(Cn3ccnc3)c(Nc3ccccc3)n2)cc1,25.0
CC(C)NCC(O)COc1ccc(N)cc1,Clc1ncc(Cl)c(Nc2ccccc2)n1,CC(C)NCC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,41.3
Clc1ncc(Cl)c(Nc2ccc(Br)cc2)n1,FC(F)(F)CCCBr,FC(F)(F)CCCN(c1ccc(Br)cc1)c1nc(Cl)ncc1Cl,43.6
O=C1OCCO1,Oc1ccc2ccncc2c1,OCCOc1ccc2ccncc2c1,94.0
CC(F)(F)C1(O)c2cc(Cl)ccc2Nc2ncccc21,OCC1CC1,CC(F)(F)C1(OCC2CC2)c2cc(Cl)ccc2Nc2ncccc21,86.1
COc1cc2c(Cl)ncnc2cc1OCCCN1CCOCC1,Cc1ccc(NC(=O)c2ccc(C#N)cc2)cc1N,COc1cc2c(Nc3cc(NC(=O)c4ccc(C#N)cc4)ccc3C)ncnc2cc1OCCCN1CCOCC1,52.0
Nc1cc(F)c(Br)cc1C=O,[I-],O=Cc1cc(Br)c(F)cc1I,15.7
CCOC(=O)C[C@@H](C)c1ccc(N)cc1,Cc1ccccc1Nc1nc2ccc(CC(=O)O)cc2o1,Cc1ccccc1Nc1nc2ccc(CC(=O)Nc3ccc([C@H](C)CC(=O)O)cc3)cc2o1,30.6
CC(C)(C)[Si](C)(C)Cl,COc1cc2c(cc1O)C(=O)CCC2,COc1cc2c(cc1O[Si](C)(C)C(C)(C)C)C(=O)CCC2,95.2
COC(=O)C(Oc1ccccc1OC)C(=O)OC,N=C(N)C(F)(F)F,COc1ccccc1OC1C(=O)N=C(C(F)(F)F)NC1=O,69.9
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,O=C(Cl)c1ccco1,Cc1ccc2nc(-c3ccc(NC(=O)c4ccco4)cc3)sc2c1,46.0
CCN(C(C)C)C(C)C,O=C(O)[C@@H]1c2ccccc2CCN1C(=O)OCC1c2ccccc2-c2ccccc21,CN(C)C(=O)[C@@H]1c2ccccc2CCN1C(=O)OCC1c2ccccc2-c2ccccc21,84.7
CCN(CC)CC,COc1ccc2nc(COc3ccc(CC(SC(C)=O)C(=O)O)cc3)n(C)c2c1,COc1ccc2nc(COc3ccc(CC(S)C(N)=O)cc3)n(C)c2c1,15.3
CC(C)(C)OC(=O)OC(=O)[O-],O=C1CCC(c2ccc(F)cc2)N1,CC(C)(C)OC(=O)N1C(=O)CCC1c1ccc(F)cc1,62.0
