,reactant_1,reactant_2,product,Yield
5365,COc1cc2ncc(C#N)c(Cl)c2cc1OC,CSc1ccc(N)cc1,COc1cc2ncc(C#N)c(Nc3ccc(SC)cc3)c2cc1OC,95.2
5369,CC(C)(C)c1ccc2c(c1)Cc1cc(C(C)(C)C)ccc1-2,CC1=C(CCBr)c2ccccc2C1,CC1=Cc2ccccc2C1C=CC1c2cc(C(C)(C)C)ccc2-c2ccc(C(C)(C)C)cc21,93.1
5370,COCCl,COc1cc(CCCNNc2ccncc2)ccc1O[Si](C)(C)C(C)(C)C,COc1cc2c(cc1O[Si](C)(C)C(C)(C)C)CN(Nc1ccncc1)CCC2,60.0
5372,CCCI,COc1cc(O)ccc1Br,CCCOc1ccc(Br)c(OC)c1,88.0
5375,CCOP(=O)(OCC)[C@H]1CC[C@@H](CBr)O1,Cc1c[nH]c(=O)[nH]c1=O,CCn1cc(C)c(=O)[nH]c1=O,40.0
5376,CC(C)(C)OC(=O)NCCO,Oc1noc(-c2cccs2)c1Cl,CC(C)(C)OC(=O)NCCOc1cc(-c2cccs2)on1,74.1
5377,CC(C)(C)OC(=O)NCCO,COc1ccccc1-c1cc(O)no1,COc1ccccc1-c1cc(OCCNC(=O)OC(C)(C)C)no1,86.0
5378,CC(C)(C)OC(=O)NCCO,Oc1cc(-c2cccc(Cl)c2)on1,CC(C)(C)OC(=O)NCCOc1cc(-c2cccc(Cl)c2)on1,85.3
5379,CC(C)(C)OC(=O)NCCO,Oc1cc(-c2ccc(Cl)c(Cl)c2)on1,CC(C)(C)OC(=O)NCCOc1cc(-c2ccc(Cl)c(Cl)c2)on1,85.0
5381,BrCCOc1cc(-c2ccccc2)on1,C1CCNCC1,c1ccc(-c2cc(OCCN3CCCCC3)no2)cc1,92.2
5382,CC(C)(C)OC(=O)NCCS,Clc1cc(-c2ccccc2)on1,CC(C)(C)OC(=O)NCCSc1cc(-c2ccccc2)on1,24.3
5383,CCO,O=C(O)C=Cc1ccc(Oc2ccccc2)cc1,CCOC(=O)C=Cc1ccc(Oc2ccccc2)cc1,98.0
5386,C=C[Sn](CCCC)(CCCC)CCCC,O=[N+]([O-])c1cccc2cc(Br)cnc12,C=Cc1cnc2c([N+](=O)[O-])cccc2c1,53.5
5388,COCCO,O=C(Nc1cccc2c(Cl)ccnc12)c1c(Cl)cccc1Cl,COCCOc1ccnc2c(NC(=O)c3c(Cl)cccc3Cl)cccc12,78.6
5389,CC(C)(C)[Si](OCc1c(Cl)ccc(-n2cccc2C=O)c1Cl)(c1ccccc1)c1ccccc1,O=P([O-])(O)O,CC(C)(C)[Si](OCc1c(Cl)ccc(-n2cccc2C(=O)O)c1Cl)(c1ccccc1)c1ccccc1,71.9
5390,C[C@@H](O)CCO,N#Cc1ccc(Cl)cc1,C[C@H](CCOc1ccc(C#N)cc1)Oc1ccc(C#N)cc1,81.4
5391,CNC(=O)[C@@H](NC(=O)[C@@H](CC(=O)OCc1ccccc1)n1ccc(-c2ccccc2)c1)C(C)(C)C,COC1CC(c2ccc(-c3ccc(C#N)cc3)cc2)C(OC)O1,CNC(=O)[C@@H](NC(=O)[C@@H](CC(=O)OCc1ccccc1)n1ccc(-c2ccc(-c3ccc(C#N)cc3)cc2)c1)C(C)(C)C,48.0
5392,CC(C)(C)OC(=O)[C@H](CC(=O)NN1[C@@H](Cc2ccccc2)COC1(C)C)c1ccn(-c2ccc(-c3ccccc3)cc2)c1,CNC(=O)[C@@H](NC(=O)Cc1ccc(-c2ccc(-c3ccccc3)cc2)o1)C(C)(C)C,CNC(=O)[C@@H](NC(=O)C(CC(=O)OC(C)(C)C)c1ccc(-c2ccc(-c3ccccc3)cc2)o1)C(C)(C)C,7.0
5393,N[C@H](CO)Cc1ccccc1,O=C(Br)CBr,O=C(CBr)N[C@H](CO)Cc1ccccc1,88.4
5394,CC(C)=CCO,O=C(Cl)C12CC3CC(CC(C3)C1)C2,CC(C)=CCOC(=O)C12CC3CC(CC(C3)C1)C2,78.9
5395,Cc1[nH]c2ccccc2c1C,Cc1ccc(Cl)cc1N=C=S,Cc1ccc(Cl)cc1NC(=S)n1c(C)c(C)c2ccccc21,66.1
5396,C[C@@H]1CC(=O)N[C@H]1Cc1ccccc1,C[O+](C)C,COC1=N[C@@H](Cc2ccccc2)[C@H](C)C1,73.8
5398,CCN(CC)CC,Cc1cc(O)ccc1N1CCc2c1c1cccc(OC(F)(F)F)c1[nH]c2=O,CNc1nc2c(OC(F)(F)F)cccc2c2c1CCN2c1ccc(O)cc1C,96.8
5399,CCC(=O)c1ccc(Br)cc1OS(C)(=O)=O,COc1ccc(NN)cc1,CCc1nn(-c2ccc(OC)cc2)c2cc(Br)ccc12,40.0
5400,CC(=O)OC(C)=O,O=Cc1cc(Cl)cc(Cl)c1O,O=c1ccc2cc(Cl)cc(Cl)c2o1,72.2
5401,O=C1NC(=O)c2ccccc21,OCCCCCC1CCSS1,O=C1c2ccccc2C(=O)N1CCCCCC1CCSS1,2.6
5402,CC(C)c1ccc([Mg]Br)cc1,COC(=O)C12CN(Cc3ccccc3)CC1C(=O)CCC2c1ccccc1,COC(=O)C12CN(Cc3ccccc3)CC1C(O)(c1ccc(C(C)C)cc1)CCC2c1ccccc1,41.0
5403,CCCCOC(=O)CO,Cn1c(C(F)(F)F)cnc(-c2cc([N+](=O)[O-])c(F)cc2F)c1=O,CCCCOC(=O)COc1cc(F)c(-c2ncc(C(F)(F)F)n(C)c2=O)cc1[N+](=O)[O-],82.4
5405,COC(=O)Cc1ccccc1COc1cccc(Br)n1,COC=O,COC(=O)/C(=C/O)c1ccccc1COc1cccc(Br)n1,97.9
5407,CCCCCCC(C)(C)c1cccc(C=O)c1,O,CCCCCCC(C)(C)c1cccc(C(=O)O)c1,99.0
5409,CCCCCBr,COc1ccc(C(=O)O)cc1O,CCCCCOC(=O)c1ccc(OC)c(OCCCCC)c1,98.8
5415,CCCCc1csc(C=O)c1Br,COCOc1cc(OC)ccc1B(O)O,CCCCc1csc(C=O)c1-c1ccc(OC)cc1OCOC,71.1
5417,CC(C)OC(=O)CBr,O=c1c(Cc2cccnc2)cn2c3ccc(Br)cc3c3cc(O)cc1c32,CC(C)OC(=O)COc1cc2c(=O)c(Cc3cccnc3)cn3c4ccc(Br)cc4c(c1)c23,59.0
5418,CCCOC(=O)CBr,O=c1c(Cc2cccnc2)cn2c3ccc(Br)cc3c3cc(O)cc1c32,CCCOC(=O)COc1cc2c(=O)c(Cc3cccnc3)cn3c4ccc(Br)cc4c(c1)c23,55.0
5421,O=C1CCn2c3ccccc3c3cccc1c32,O=Cc1ccccc1,O=C(c1ccccc1)c1cn2c3ccccc3c3cccc(c1=O)c32,14.0
5422,C=CC(=O)O,Nc1ccc(Cl)cc1,O=c1ccn2c3ccc(Cl)cc3c3cc(Cl)cc1c32,87.0
5424,COc1cc(O)c2c(=O)oc(CCl)cc2c1,[C-]#N,COc1cc(O)c2c(=O)oc(CC#N)cc2c1,84.9
5426,CC1CCC(C(=O)CBr)O1,COc1ccc(COC(=O)C(O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2S)cc1,COc1ccc(COC(=O)C(O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SCC(=O)C2CCC(C)O2)cc1,60.0
5427,N#CCCn1cccc1,O=C1C=CC(=O)c2ccccc21,N#CCCn1cccc1C1=CC(=O)c2ccccc2C1=O,42.0
5428,CCCCCCCCBr,CCCCCCOc1ccc(-c2ncc(-c3ccc(O)c(F)c3F)cn2)cn1,CCCCCCCCOc1ccc(-c2cnc(-c3ccc(OCCCCCC)nc3)nc2)c(F)c1F,61.0
5429,O=C1C(O)SCN1c1ccc(Cl)c(Br)c1,[O-][I+3]([O-])([O-])[O-],O=C1C(O)OCN1c1ccc(Cl)c(Br)c1,15.2
5431,C1CCOC1,CCOC(C)O[C@@H]1OC=C(C(=O)OC)[C@H]2CC=C(C=O)[C@H]12,CCOC(C)O[C@@H]1OC=C(C(=O)OC)[C@H]2CC=C(CCO)[C@H]12,77.0
5432,CCCC[PH](=O)O,CP(=O)(CC(CCC(=O)OCc1ccccc1)C(=O)OCc1ccccc1)OCc1ccccc1,CCCCP(=O)(O)CC(CCC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,40.6
5434,CONC(=O)c1c(Cl)ccc(C(=O)OC)c1Cl,O=C([O-])[O-],CON=C(OC)c1c(Cl)ccc(C(=O)OC)c1Cl,11.8
5435,COc1nc2ccccc2cc1NC(=O)Oc1ccccc1,CSc1ccccc1N1CCNCC1,COc1nc2ccccc2cc1NC(=O)N1CCN(c2ccccc2SC)CC1,78.0
5436,CI,COc1cc(OC)cc(N2CCN(C(=O)Nc3cc4ccccc4nc3OC)CC2)c1,COc1cc(OC)cc(N2CCN(C(=O)N(C)c3cc4ccccc4nc3OC)CC2)c1,93.0
5437,COc1cccc(N2CCNCC2)c1,COc1nc2ccccc2cc1NC(=S)Oc1ccccc1,COc1cccc(N2CCN(C(=S)Nc3cc4ccccc4nc3OC)CC2)c1,81.0
5438,Cc1nc2ccccc2cc1NC(=O)Oc1ccccc1,Fc1ccccc1N1CCNCC1,Cc1nc2ccccc2cc1NC(=O)N1CCN(c2ccccc2F)CC1,84.0
5440,CCOC(=O)CBr,COc1cc(OC)cc(N2CCN(C(=O)Nc3cc(C(C)=O)c(C)nc3OC)CC2)c1,CCOC(=O)CN(C(=O)N1CCN(c2cc(OC)cc(OC)c2)CC1)c1cc(C(C)=O)c(C)nc1OC,84.0
5442,CC(=O)c1cccc(Br)n1,OB(O)c1ccccc1,CC(=O)c1cccc(-c2ccccc2)n1,89.2
5444,COc1cc(C)ccc1C#N,O=C1CCC(=O)N1Br,COc1cc(CBr)ccc1C#N,35.3
5446,COC(=O)C(=COCF)c1ccccc1O,CS(=O)(=O)c1nc(-c2ccccc2)ns1,COC(=O)C(=COCF)c1ccccc1Oc1nc(-c2ccccc2)ns1,67.3
5450,BrBr,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,Cc1ccc2nc(-c3ccc(N)c(Br)c3)sc2c1,85.3
5451,CC(=O)OC(C)=O,Nc1ccc(-c2nc3ccccc3s2)cc1,CC(=O)Nc1ccc(-c2nc3ccccc3s2)cc1,88.0
5452,C=CCBr,CCC(=O)NCCc1c[nH]c2ccc(O)cc12,C=CCOc1ccc2[nH]cc(CCNC(=O)CC)c2c1,80.9
5456,Cc1ccc(O)c(N)c1,O=C(O)C1CCNCC1,Cc1ccc2oc(C3CCNCC3)nc2c1,83.4
5457,COc1cccc(CC#N)c1,O=[N+]([O-])c1ccc(C2(c3ccc(Cl)cc3)OCCO2)cc1,COc1cccc(-c2onc3ccc(C4(c5ccc(Cl)cc5)OCCO4)cc23)c1,90.0
5458,O=C(NCCCO)OCc1ccccc1,O=C1c2ccccc2C(=O)N1O,O=C(NCCCON1C(=O)c2ccccc2C1=O)OCc1ccccc1,100.0
5462,C#CC(CC=O)c1ccc(OC)c(OC2CCCC2)c1,Cc1nc(-c2cccc(I)c2)no1,COc1ccc(C(C#Cc2cccc(-c3noc(C)n3)c2)CC=O)cc1OC1CCCC1,71.0
5463,ClCc1ccccc1,O=C1CC(c2ccccc2)NCCN1,O=C1CC(c2ccccc2)N(Cc2ccccc2)CCN1,83.9
5464,CCOC(=O)c1sc2cc(CO)ccc2c1Cl,COc1cccc(S)c1,CCOC(=O)c1sc2cc(CO)ccc2c1Sc1cccc(OC)c1,78.5
5465,CCOC(=O)c1sc2cc(COS(C)(=O)=O)ccc2c1S(=O)c1cccc(OC)c1,Oc1cccnc1,CCOC(=O)c1sc2cc(COc3cccnc3)ccc2c1S(=O)c1cccc(OC)c1,47.1
5468,CC(C)(C)OC(=O)NCCC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CNCc1ccc(OCc2ccccc2)cc1,CN(Cc1ccc(OCc2ccccc2)cc1)C(=O)[C@@H](CCCNC(=O)OC(C)(C)C)NC(=O)OCC1c2ccccc2-c2ccccc21,100.0
5471,CC(C)(C)C(=O)Cl,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,CC(C)(C)C(=O)OC[C@H]1O[C@@H](OC(=O)C(C)(C)C)[C@H](OC(=O)C(C)(C)C)[C@@H](OC(=O)C(C)(C)C)[C@@H]1OC(=O)C(C)(C)C,90.0
5472,CC(C)(C)C(=O)OC[C@H]1O[C@@H](Sc2ccccc2)[C@H](OC(=O)C(C)(C)C)[C@@H](OC(=O)C(C)(C)C)[C@@H]1OC(=O)C(C)(C)C,O=C(OO)c1cccc(Cl)c1,CC(C)(C)C(=O)OC[C@H]1O[C@@H](S(=O)c2ccccc2)[C@H](OC(=O)C(C)(C)C)[C@@H](OC(=O)C(C)(C)C)[C@@H]1OC(=O)C(C)(C)C,89.4
5473,CC(=O)OC[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H](C=O)OC(C)=O,Oc1ccc(S)cc1,CC(=O)OC[C@H]1O[C@@H](Sc2ccc(O)cc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,99.0
5475,Cc1c(SCCCSc2ccc3ncc([N+](=O)[O-])n3n2)ccnc1CCl,Sc1nccn1-c1ccccn1,Cc1c(SCCCSc2ccc3ncc([N+](=O)[O-])n3n2)ccnc1C(Sc1ncc[nH]1)c1ccccn1,29.2
5476,CC(O)c1nccc2c1CCCC2,O=S(Cl)Cl,CC(Cl)c1nccc2c1CCCC2,100.0
5477,CC=O,Clc1nc(I)ccc1OCc1ccccc1,CC(O)c1ccc(OCc2ccccc2)c(Cl)n1,70.0
5478,COC(=O)c1ccc(C=O)cc1,NCCc1c[nH]c2ccccc12,COC(=O)c1ccc(C2NCCc3c2[nH]c2ccccc32)cc1,9.4
5481,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,O=C1CCNCCN1,CC(C)(C)OC(=O)N1CCNC(=O)CC1,89.0
5482,C1=CCN(Cc2ccccc2)C1,O=CN(Cc1ccccc1)Cc1ccccc1,c1ccc(CN2CC3C(C2)C3N(Cc2ccccc2)Cc2ccccc2)cc1,69.0
5485,CC(C)(C)OC(=O)N1CCC[C@@](O)(C#CCO)[C@@H]1c1ccccc1,CCCC[SnH](CCCC)CCCC,CCCC[Sn](CCCC)(CCCC)C1=C[C@@]2(CCCN(C(=O)OC(C)(C)C)[C@H]2c2ccccc2)OC1,67.0
5488,NCc1ccccc1,OC[C@H]1OC(O)[C@H](CO)[C@@H](O)[C@@H]1OCc1ccccc1,OC[C@H]1CN(Cc2ccccc2)C[C@@H](OCc2ccccc2)[C@@H]1O,25.0
5489,C[C@H](CSC(=O)c1ccccc1)C(=O)Oc1ccc([N+](=O)[O-])cc1,Cc1ccc(CSC[C@H](N)C(=O)O)cc1,Cc1ccc(CSC[C@H](NC(=O)[C@H](C)CSC(=O)c2ccccc2)C(=O)O)cc1,68.9
5491,CC(C)(Cc1ccc(O)cc1)[N+](=O)[O-],CCOC(=O)CBr,CCOC(=O)COc1ccc(CC(C)(C)[N+](=O)[O-])cc1,97.4
5495,COc1ccc(C#N)c(OCC(F)(F)F)c1OC,O=[N+]([O-])[O-],COc1cc([N+](=O)[O-])c(C#N)c(OCC(F)(F)F)c1OC,73.0
5498,CON=C(C=O)c1ccccc1COc1cc(C)ccc1C,[C-]#[N+]CS(=O)(=O)c1ccc(C)cc1,CON=C(c1cnco1)c1ccccc1COc1cc(C)ccc1C,44.6
5500,Cc1ccc(CN)cc1,OCCCl,Cc1ccc(CNCCO)cc1,35.0
5501,NCC(O)c1ccccc1,O=C(Cl)c1ccccc1,O=C(NCC(O)c1ccccc1)c1ccccc1,58.0
5503,Nc1ccc(N2CCNCC2)cc1N,S=C=S,Sc1nc2cc(N3CCNCC3)ccc2[nH]1,85.0
5504,BrP(Br)(c1ccccc1)(c1ccccc1)c1ccccc1,OCCC1CC2CCC1C2,BrCCC1CC2CCC1C2,95.3
5505,O=[N+]([O-])c1ccc(-n2nnnc2Cl)cc1,OCCCC1CCCCC1,O=[N+]([O-])c1ccc(-n2nnnc2OCCCC2CCCCC2)cc1,68.0
5506,O=C1CCC(=O)N1Br,O=C1Cc2ccccc2N1,O=C1Cc2cc(Br)ccc2N1,91.8
5508,O=C1Cc2cc(S(=O)(=O)Cl)ccc2N1,[NH4+],NS(=O)(=O)c1ccc2c(c1)CC(=O)N2,20.0
5509,COC(=O)c1ccc(C(=O)Cl)cc1,Nc1ccc2c(c1)CC(=O)N2,COC(=O)c1ccc(C(=O)Nc2ccc3c(c2)CC(=O)N3)cc1,81.0
5511,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,OC1CNCCC1c1cccc(Br)c1,CC(C)(C)OC(=O)N1CCC(c2cccc(Br)c2)C(O)C1,92.0
5513,CC(C)(C)OC(=O)N1CCC(O)(c2ccc(Cl)cc2)C(O)C1,COc1ccc(CCl)cc1,COc1ccc(COC2CN(C(=O)OC(C)(C)C)CCC2(O)c2ccc(Cl)cc2)cc1,38.0
5514,CC(C)(C)OC(=O)N1CCC(c2ccc(CCO)cc2)C(OCc2ccc3ccccc3c2)C1,O=[Mn](=O)(=O)[O-],CC(C)(C)OC(=O)N1CCC(c2ccc(CC(=O)O)cc2)C(OCc2ccc3ccccc3c2)C1,50.5
5515,CCOCC,COC(=O)c1ccccc1-c1ccc(COC2C3CCC(CC2c2ccc(Cl)cc2)N3)cc1,CC(O)c1ccccc1-c1ccc(COC2C3CCC(CC2c2ccc(Cl)cc2)N3)cc1,68.0
5517,CC(C)(C)OC(=O)N1CC(COS(C)(=O)=O)C(c2ccc(OCCCOCc3ccccc3)cc2)C(OCc2ccc3ccccc3c2)C1,c1nc[nH]n1,CC(C)(C)OC(=O)N1CC(Cn2cncn2)C(c2ccc(OCCCOCc3ccccc3)cc2)C(OCc2ccc3ccccc3c2)C1,77.0
5518,CNN,O=Cc1ccc(Cl)cc1,CNN=Cc1ccc(Cl)cc1,97.0
5519,CNN,O=Cc1ccc(Cl)cc1F,CNN=Cc1ccc(Cl)cc1F,94.0
5521,CCOC(=O)C(O)Cc1ccc(O)cc1,CS(=O)(=O)OCCN1c2ccccc2Oc2ccccc21,CCOC(=O)C(O)Cc1ccc(OCCN2c3ccccc3Oc3ccccc32)cc1,43.0
5522,CC(C)(C)[O-],Cc1ccc(C2(C(=O)O)CCCC2)cc1,Cc1ccc(C2(C(=O)OC(C)(C)C)CCCC2)cc1,87.0
5523,C=O,COc1ccc(Cn2ccc(C)c([N+](=O)[O-])c2=O)cc1,CCc1ccn(Cc2ccc(OC)cc2)c(=O)c1N,59.2
5526,NO,O=Cc1c(C(F)(F)F)ccc(F)c1F,ON=Cc1c(C(F)(F)F)ccc(F)c1F,44.8
5527,CC(C)c1nc(CCO)n(C)c1Sc1cc(Cl)cc(Cl)c1,COC1=CCCCCCCCC1,CC(C)c1nc(CCOC2=CCCCCCCCC2)n(C)c1Sc1cc(Cl)cc(Cl)c1,89.7
5528,COC(=N)N,COc1cc(C(=O)N(C)c2ccc(C)cc2OCCCCCC(=O)N2CCC(N(C)C)CC2)ccc1NC(=O)c1ccccc1OCCCN,COc1cc(C(=O)N(C)c2ccc(C)cc2OCCCCCC(=O)N2CCC(N(C)C)CC2)ccc1NC(=O)c1ccccc1OCCCNC(=N)N,18.2
5529,CCCCCCCN(C=C(C)C)c1ccccc1,Cc1cccc(C)c1,CCCCCCCN1c2ccccc2CC1(C)C,95.8
5530,CCOC(=O)C(=O)O,CCOC(=O)c1ccc(Nc2ccc([N+](=O)[O-])cc2N)cc1,CCOC(=O)c1ccc(-n2c(=O)c(=O)[nH]c3cc([N+](=O)[O-])ccc32)cc1,26.9
5536,CCOP(=O)(CC(=O)OC(C)(C)C)OCC,O=CCc1ccccc1,CC(C)(C)OC(=O)C=CCc1ccccc1,69.3
5537,BrCCCc1ccccc1,COC(=O)CC(C)=O,COC(=O)CC(=O)C=CCCc1ccccc1,50.0
5538,COc1ccc(S(=O)(=O)[C@H](CCCCc2ccccc2)[C@H](CCOc2ccccc2)C(=O)O)cc1,C[Si](C)(C)ON,COc1ccc(S(=O)(=O)C(CCCCc2ccccc2)C(CCOc2ccccc2)C(=O)NO)cc1,69.0
5543,Cc1ccc(S(=O)(=O)OCC2CCc3ccccc3O2)cc1,O=C1NCN(c2ccccc2)C12CCNCC2,O=C1NCN(c2ccccc2)C12CCN(CC1CCc3ccccc3O1)CC2,55.0
5544,C1CCC2OC2C1,C1CCNC1,OC1CCCCC1N1CCCC1,89.0
5545,CN1CCC(O)CC1,COc1ccc(-c2sc3cc(OC)ccc3c2C(=O)c2ccc(O)cc2)cc1,COc1ccc(-c2sc3cc(OC)ccc3c2C(=O)c2ccc(OC3CCN(C)CC3)cc2)cc1,57.0
5546,COc1ccc(-c2sc3cc(OC)ccc3c2C(=O)c2ccc(O)cc2)cc1,OC1CCN(Cc2ccccc2)CC1,COc1ccc(-c2sc3cc(OC)ccc3c2C(=O)c2ccc(OC3CCN(Cc4ccccc4)CC3)cc2)cc1,79.0
5547,CCCCCCCCCCCCCCCCN,OCCOCCCl,CCCCCCCCCCCCCCCCNCCOCCO,70.0
5548,CNc1ccccc1,O=S(=O)(Cl)c1ccccc1C(F)(F)F,CN(c1ccccc1)S(=O)(=O)c1ccccc1C(F)(F)F,96.0
5549,CC=CCn1c(C)c(C)c2cnnc(Cl)c21,OCc1ccccc1,CC=CCn1c(C)c(C)c2cnnc(OCc3ccccc3)c21,78.6
5550,Cc1c(C)n(CCCF)c2c(Cl)nncc12,OCc1ccccc1,Cc1c(C)n(CCCF)c2c(OCc3ccccc3)nncc12,71.2
5551,Cc1c(C)n(CC=Cc2ccccc2)c2c(Cl)nncc12,OCc1ccc(F)cc1,Cc1c(C)n(CC=Cc2ccccc2)c2c(OCc3ccc(F)cc3)nncc12,47.7
5552,CS(=O)(=O)OCC=CC(F)(F)F,Cc1[nH]c2c(OCc3ccccc3)nncc2c1C,Cc1c(C)n(CC=CC(F)(F)F)c2c(OCc3ccccc3)nncc12,20.7
5553,Cc1[nH]c2c(OCc3ccccc3)nncc2c1C,ClC=C(Cl)CCl,Cc1c(C)n(CC(Cl)=CCl)c2c(OCc3ccccc3)nncc12,8.0
5554,CC1CC1CBr,Cc1cc(C(=O)CCc2ccc(F)cc2F)[nH]c1C,Cc1cc(C(=O)CCc2ccc(F)cc2F)n(CC2CC2C)c1C,80.2
5556,O=C(Cl)c1ccc(-c2ccc(C(=O)Cl)cc2)cc1,O=C1CCC(=O)N1O,O=C(Cl)c1ccc(-c2ccc(C(=O)ON3C(=O)CCC3=O)cc2)cc1,93.2
5557,CC1(c2ccc(-c3ccc(SC(F)F)cc3)cc2)OCCO1,O=S(=O)(Cl)Cl,O=C(CCl)c1ccc(-c2ccc(SC(F)F)cc2)cc1,71.6
5558,COC(=O)CC[C@H](N)C(=O)OC,Nc1nc(O)c2c(n1)NCC(CCc1c[nH]c(C(=O)O)c1)C2,COC(=O)CC[C@H](NC(=O)c1cc(CCC2CNc3nc(N)nc(O)c3C2)c[nH]1)C(=O)OC,66.0
5561,CC(C)(C)OC(=O)N[C@@H](C=O)Cc1ccccc1,C[N+](=O)[O-],CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)[C@H](O)C[N+](=O)[O-],60.6
5562,C=C(C)C(=O)OC(=O)C(=C)C,OCCc1c[nH]c2ccccc12,C=C(C)C(=O)OCCc1c[nH]c2ccccc12,72.7
5563,CCCC[Sn](C#CCC(C)C)(CCCC)CCCC,COC(=O)c1ccc(OS(=O)(=O)C(F)(F)F)c(NC(=O)OCc2ccccc2)c1,COC(=O)c1ccc(C#CCC(C)C)c(NC(=O)OCc2ccccc2)c1,88.9
5564,CC(=O)OC(C)=O,COc1cccc([C@H]2CCC[C@H](N)C2)c1,COc1cccc(C2CCCC(NC(C)=O)C2)c1,53.3
5565,CCOC(=O)COc1ccc(C2CCCC(NC[C@H](O)c3cccc(Cl)c3)C2)cc1,COCCN,COCCNC(=O)COc1ccc(C2CCCC(NC[C@H](O)c3cccc(Cl)c3)C2)cc1,98.6
5566,CCOC(=O)COc1cccc(C2CCCC(N)C2)c1,Clc1cccc([C@@H]2CO2)c1,CCOC(=O)COc1cccc(C2CCCC(NC[C@H](O)c3cccc(Cl)c3)C2)c1,61.8
5568,O=[N+]([O-])c1ccccc1NCCCl,c1cc(N2CCNCC2)c2cc[nH]c2c1,O=[N+]([O-])c1ccccc1NCCN1CCN(c2cccc3[nH]ccc23)CC1,40.0
5569,CC(C)Oc1ccc(C(F)(F)F)cc1[C@H]1CO[C@]2(CCCN(CC#CCCl)[C@H]2c2ccccc2)C1,[N-]=[N+]=[N-],CC(C)Oc1ccc(C(F)(F)F)cc1[C@H]1CO[C@]2(CCCN(CC#CCN=[N+]=[N-])[C@H]2c2ccccc2)C1,96.7
5570,CN(C)B(N(C)C)N(C)C,FC(F)(F)Oc1ccc(Br)cc1,CN(C)c1ccc(OC(F)(F)F)cc1,29.3
5571,CC1(C)CC(C)(C)CC(C)(N)C1,N#CCCCBr,CC1(C)CC(C)(C)CC(C)(NCCCC#N)C1,86.0
5572,CC(=O)Oc1c(I)c(OC(C)=O)c(I)c(C(=O)O)c1I,O=S(Cl)Cl,CC(=O)Oc1c(I)c(OC(C)=O)c(I)c(C(=O)Cl)c1I,88.0
5575,CCCc1cc([N+](=O)[O-])cc[n+]1[O-],C[O-],CCCc1cc(OC)cc[n+]1[O-],97.0
5577,CS(=O)Cc1ccc(C(=O)c2ccc(Cl)cc2)cc1,O=C(OO)c1cccc(Cl)c1,CS(=O)(=O)Cc1ccc(C(=O)c2ccc(Cl)cc2)cc1,58.9
5579,CC(=O)c1ccc[nH]1,CCOc1ccc(-c2nc(CCl)cs2)cc1OCC,CCOc1ccc(-c2nc(Cn3cccc3C(C)=O)cs2)cc1OCC,24.2
5583,CCc1c(-c2ccc(OC)cc2)c2cc(Br)c3cccc1n32,CN(C)C(=O)c1ccccc1,CCc1c(-c2ccc(OC)cc2)c2cc(C(=O)c3ccccc3)c3cccc1n32,40.0
5585,C#CC(C)=O,CCc1c(-c2ccc(CO[Si](C)(C)C(C)(C)C)cc2)cn2ccccc12,CCc1c(-c2ccc(CO[Si](C)(C)C(C)(C)C)cc2)c2cc(C(C)=O)c3cccc1n32,45.0
5587,BrCCCCBr,Nc1cccc(O)c1,Oc1cccc(N2CCCC2)c1,32.2
5588,O=C([O-])O,c1ccc(C(c2ccccc2)(c2ccccc2)n2cnc(CCCCC3OCCO3)c2)cc1,O=CCCCc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1,91.0
5589,C=C1CC(=O)O1,C=CC(C)(O)CCC=C(C)C,C=CC(C)(CCC=C(C)C)OC(=O)CC(C)=O,92.0
5591,C#Cc1c[nH]c2ccccc12,Fc1c(Cl)cc(C(F)(F)F)cc1Cl,C#Cc1cn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c2ccccc12,17.9
5593,Nc1cccc(OC2CCCCO2)c1O,O=C(n1ccnc1)n1ccnc1,O=c1[nH]c2cccc(OC3CCCCO3)c2o1,87.2
5594,C=C(C)C(=O)OCCCc1ccc(O)c(-n2nc3ccccc3n2)c1,C[O-],C=C(C)C(=O)OCCCc1cc(Cc2cc(C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1,71.0
5597,CC(C)(C)OC(=O)NN=Cc1ccccc1,CI,CN(N=Cc1ccccc1)C(=O)OC(C)(C)C,93.0
5599,COC(=O)c1ccc2cc(O)ccc2c1,ClCCN1CCN(c2ccc(Cl)cc2)CC1,O=C(O)c1ccc2cc(OCCN3CCN(c4ccc(Cl)cc4)CC3)ccc2c1,58.3
